Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID7286,7286,0,1.709,0.000,83.375,0,18,18,4,1,-10921639,27.366,7,0,170,11302,41.973,2.482,0.865,0.605
ID8022,8022,0,1.737,0.000,84.133,0,19,19,4,1,-10921639,27.741,6,0,176,11457,43.252,2.492,0.858,0.592
ID7648,7648,0,1.719,0.000,83.754,0,20,20,4,1,-10921639,29.550,11,0,176,12204,39.942,4.285,0.874,0.690
ID8387,8387,0,1.141,0.000,84.512,0,21,21,4,1,-10921639,23.068,9,0,141,9527,31.902,4.832,0.831,0.656
ID8744,8744,0,0.797,1.386,84.957,0,22,22,4,1,-10921639,19.625,10,0,109,8105,22.568,4.451,0.807,0.777
ID9109,9109,0,0.834,0.632,85.414,0,23,23,4,1,-10921639,19.315,9,0,124,7977,24.279,5.044,0.807,0.711
ID9465,9465,0,0.823,0.000,86.407,0,24,24,4,1,-10921639,20.269,13,0,105,8371,23.128,7.137,0.833,0.797
ID9836,9836,0,1.225,0.000,86.028,0,25,25,4,1,-10921639,23.673,13,0,121,9777,28.696,4.954,0.867,0.766
ID1721,1721,2,1.954,12.904,5.938,0,3,3,4,1,-10921639,33.322,7,1,242,13762,58.470,2.444,0.834,0.518
ID2072,2072,2,1.853,12.617,5.615,0,4,4,4,1,-10921639,33.090,7,1,225,13666,52.709,2.430,0.812,0.563
ID3138,3138,2,1.752,13.039,4.824,0,5,5,4,1,-10921639,29.288,4,1,248,12096,56.531,2.402,0.788,0.457
ID2782,2782,2,1.449,14.072,4.025,0,6,6,4,1,-10921639,29.002,8,1,182,11978,42.413,2.495,0.793,0.605
ID2424,2424,2,1.887,15.156,3.870,0,7,7,4,1,-10921639,35.535,6,1,241,14676,61.726,2.444,0.841,0.526
ID3494,3494,2,1.438,15.626,3.800,0,8,8,4,1,-10921639,28.615,5,1,214,11818,49.453,2.411,0.792,0.511
ID3840,3840,2,1.616,16.482,4.238,0,9,9,4,1,-10921639,29.351,6,1,249,12122,56.310,2.395,0.778,0.456
ID4215,4215,2,1.711,17.599,3.694,0,10,10,4,1,-10921639,33.942,8,1,216,14018,53.932,2.469,0.797,0.558
ID4584,4584,2,1.664,17.565,1.841,0,11,11,4,1,-10921639,37.942,15,0,245,15670,54.765,2.469,0.819,0.624
ID4937,4937,2,1.962,18.949,0.000,0,12,12,4,1,-10921639,40.550,15,0,233,16747,55.065,5.307,0.866,0.684
ID5303,5303,2,2.361,19.328,0.000,0,13,13,4,1,-10921639,45.010,18,0,250,18589,59.997,5.233,0.890,0.707
ID5659,5659,2,2.266,20.465,0.000,0,14,14,4,1,-10921639,42.303,17,0,206,17471,51.763,4.311,0.897,0.773
ID6031,6031,2,2.430,21.602,0.000,0,15,15,4,1,-10921639,37.356,7,0,211,15428,56.474,2.510,0.913,0.631
ID6761,6761,2,0.858,22.739,0.000,0,17,17,4,1,-10921639,15.128,3,0,189,6248,32.761,2.412,0.783,0.406
ID7133,7133,2,2.733,23.118,0.000,0,18,18,4,1,-10921639,42.039,5,0,249,17362,69.400,2.504,0.914,0.578
ID7863,7863,2,1.506,24.254,0.000,0,19,19,4,1,-10921639,23.915,4,0,209,9877,43.580,2.428,0.864,0.509
ID4723,4723,0,1.852,0.000,80.343,0,11,11,4,1,-10921639,28.545,4,0,191,11789,48.897,2.457,0.892,0.550
ID5085,5085,0,1.844,0.000,80.343,0,12,12,4,1,-10921639,30.165,7,0,161,12458,42.843,4.056,0.889,0.663
ID5446,5446,0,1.505,0.000,80.343,0,13,13,4,1,-10921639,24.838,6,0,154,10258,35.794,2.558,0.836,0.632
ID5815,5815,0,1.165,0.000,81.480,0,14,14,4,1,-10921639,22.799,7,0,126,9416,30.146,4.376,0.845,0.693
ID6179,6179,0,1.005,0.000,81.859,0,15,15,4,1,-10921639,19.312,10,0,116,7976,24.664,4.595,0.822,0.706
ID6544,6544,0,1.204,0.000,81.859,0,16,16,4,1,-10921639,23.269,7,0,118,9610,30.646,4.172,0.804,0.677
ID6914,6914,0,1.582,0.000,81.859,0,17,17,4,1,-10921639,28.511,7,0,147,11775,36.604,4.139,0.835,0.709
ID43441,43441,91,0.780,46.217,161.453,0,116,116,4,1,-10921639,18.668,11,1,102,7710,21.091,2.528,0.628,0.683
ID43806,43806,91,1.021,46.484,162.387,0,117,117,4,1,-10921639,21.864,9,1,144,9030,30.978,2.451,0.629,0.545
ID44158,44158,91,0.922,45.025,161.922,0,118,118,4,1,-10921639,19.939,7,1,158,8235,28.500,2.552,0.651,0.552
ID44524,44524,91,1.886,33.535,159.592,0,119,119,4,1,-10921639,48.942,22,1,255,20213,57.268,15.200,0.428,0.513
